Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Scorecard Link
West Indies,Ireland,West Indies,24 runs,Kingston,"Jan 8, 2022",4339,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard
West Indies,Ireland,Ireland,5 wickets,Kingston,"Jan 13, 2022",4340,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,"Jan 16, 2022",4341,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard
West Indies,Ireland,Ireland,2 wickets,Kingston,"Jan 16, 2022",4342,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard
Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,"Jan 18, 2022",4343,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard
South Africa,India,South Africa,31 runs,Paarl,"Jan 19, 2022",4344,https://www.espncricinfo.com/series/india-in-south-africa-2021-22-1277060/south-africa-vs-india-1st-odi-1277082/full-scorecard
Afghanistan,Netherlands,Afghanistan,36 runs,Doha,"Jan 21, 2022",4345,https://www.espncricinfo.com/series/afghanistan-v-netherlands-2021-22-1295178/afghanistan-vs-netherlands-1st-odi-1295181/full-scorecard
South Africa,India,South Africa,7 wickets,Paarl,"Jan 21, 2022",4346,https://www.espncricinfo.com/series/india-in-south-africa-2021-22-1277060/south-africa-vs-india-2nd-odi-1277083/full-scorecard
Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,"Jan 21, 2022",4347,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-3rd-odi-1294971/full-scorecard
Afghanistan,Netherlands,Afghanistan,48 runs,Doha,"Jan 23, 2022",4348,https://www.espncricinfo.com/series/afghanistan-v-netherlands-2021-22-1295178/afghanistan-vs-netherlands-2nd-odi-1295182/full-scorecard
South Africa,India,South Africa,4 runs,Cape Town,"Jan 23, 2022",4349,https://www.espncricinfo.com/series/india-in-south-africa-2021-22-1277060/south-africa-vs-india-3rd-odi-1277084/full-scorecard
Afghanistan,Netherlands,Afghanistan,75 runs,Doha,"Jan 25, 2022",4350,https://www.espncricinfo.com/series/afghanistan-v-netherlands-2021-22-1295178/afghanistan-vs-netherlands-3rd-odi-1295183/full-scorecard
Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 5, 2022",4351,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-united-arab-emirates-57th-match-1299586/full-scorecard
Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 6, 2022",4352,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-united-arab-emirates-58th-match-1299587/full-scorecard
India,West Indies,India,6 wickets,Ahmedabad,"Feb 6, 2022",4353,https://www.espncricinfo.com/series/west-indies-in-india-2021-22-1278661/india-vs-west-indies-1st-odi-1278676/full-scorecard
Oman,U.A.E.,tied,-,Al Amerat,"Feb 8, 2022",4354,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-united-arab-emirates-59th-match-1299588/full-scorecard
India,West Indies,India,44 runs,Ahmedabad,"Feb 9, 2022",4355,https://www.espncricinfo.com/series/west-indies-in-india-2021-22-1278661/india-vs-west-indies-2nd-odi-1278677/full-scorecard
India,West Indies,India,96 runs,Ahmedabad,"Feb 11, 2022",4356,https://www.espncricinfo.com/series/west-indies-in-india-2021-22-1278661/india-vs-west-indies-3rd-odi-1278678/full-scorecard
Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,"Feb 23, 2022",4357,https://www.espncricinfo.com/series/afghanistan-in-bangladesh-2021-22-1299826/bangladesh-vs-afghanistan-1st-odi-1299829/full-scorecard
Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,"Feb 25, 2022",4358,https://www.espncricinfo.com/series/afghanistan-in-bangladesh-2021-22-1299826/bangladesh-vs-afghanistan-2nd-odi-1299830/full-scorecard
Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,"Feb 28, 2022",4359,https://www.espncricinfo.com/series/afghanistan-in-bangladesh-2021-22-1299826/bangladesh-vs-afghanistan-3rd-odi-1299831/full-scorecard
U.A.E.,Oman,Oman,12 runs,ICCA Dubai,"Mar 5, 2022",4360,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-arab-emirates-vs-oman-60th-match-1302616/full-scorecard
Namibia,Oman,Namibia,110 runs,ICCA Dubai,"Mar 6, 2022",4361,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/namibia-vs-oman-61st-match-1302617/full-scorecard
U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai,"Mar 8, 2022",4362,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-arab-emirates-vs-namibia-62nd-match-1302618/full-scorecard
U.A.E.,Oman,Oman,8 runs,ICCA Dubai,"Mar 9, 2022",4363,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-arab-emirates-vs-oman-63rd-match-1302619/full-scorecard
Namibia,Oman,Oman,7 wickets,Sharjah,"Mar 11, 2022",4364,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/namibia-vs-oman-64th-match-1302620/full-scorecard
U.A.E.,Namibia,U.A.E.,43 runs,Sharjah,"Mar 12, 2022",4365,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-arab-emirates-vs-namibia-65th-match-1302621/full-scorecard
Namibia,Oman,Namibia,5 wickets,Dubai (DSC),"Mar 14, 2022",4366,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/namibia-vs-oman-66th-match-1302622/full-scorecard
U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah,"Mar 15, 2022",4367,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-arab-emirates-vs-papua-new-guinea-67th-match-1302623/full-scorecard
Nepal,P.N.G.,Nepal,2 wickets,Sharjah,"Mar 16, 2022",4368,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/nepal-vs-papua-new-guinea-68th-match-1302624/full-scorecard
U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC),"Mar 18, 2022",4369,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-arab-emirates-vs-nepal-69th-match-1302625/full-scorecard
South Africa,Bangladesh,Bangladesh,38 runs,Centurion,"Mar 18, 2022",4370,https://www.espncricinfo.com/series/bangladesh-in-south-africa-2021-22-1277070/south-africa-vs-bangladesh-1st-odi-1277097/full-scorecard
U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC),"Mar 19, 2022",4371,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-arab-emirates-vs-papua-new-guinea-70th-match-1302626/full-scorecard
South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,"Mar 20, 2022",4372,https://www.espncricinfo.com/series/bangladesh-in-south-africa-2021-22-1277070/south-africa-vs-bangladesh-2nd-odi-1277098/full-scorecard
U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC),"Mar 21, 2022",4373,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-arab-emirates-vs-nepal-71st-match-1302627/full-scorecard
Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC),"Mar 22, 2022",4374,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/nepal-vs-papua-new-guinea-72nd-match-1302628/full-scorecard
South Africa,Bangladesh,Bangladesh,9 wickets,Centurion,"Mar 23, 2022",4375,https://www.espncricinfo.com/series/bangladesh-in-south-africa-2021-22-1277070/south-africa-vs-bangladesh-3rd-odi-1277099/full-scorecard
Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur,"Mar 25, 2022",4376,https://www.espncricinfo.com/series/papua-new-guinea-in-nepal-2021-22-1305489/nepal-vs-papua-new-guinea-1st-odi-1305496/full-scorecard
Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur,"Mar 26, 2022",4377,https://www.espncricinfo.com/series/papua-new-guinea-in-nepal-2021-22-1305489/nepal-vs-papua-new-guinea-2nd-odi-1305497/full-scorecard
New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui,"Mar 29, 2022",4378,https://www.espncricinfo.com/series/netherlands-in-new-zealand-2021-22-1288970/new-zealand-vs-netherlands-1st-odi-1288987/full-scorecard
Pakistan,Australia,Australia,88 runs,Lahore,"Mar 29, 2022",4379,https://www.espncricinfo.com/series/australia-in-pakistan-2021-22-1288300/pakistan-vs-australia-1st-odi-1288313/full-scorecard
Pakistan,Australia,Pakistan,6 wickets,Lahore,"Mar 31, 2022",4380,https://www.espncricinfo.com/series/australia-in-pakistan-2021-22-1288300/pakistan-vs-australia-2nd-odi-1288314/full-scorecard
New Zealand,Netherlands,New Zealand,118 runs,Hamilton,"Apr 2, 2022",4381,https://www.espncricinfo.com/series/netherlands-in-new-zealand-2021-22-1288970/new-zealand-vs-netherlands-2nd-odi-1288988/full-scorecard
Pakistan,Australia,Pakistan,9 wickets,Lahore,"Apr 2, 2022",4382,https://www.espncricinfo.com/series/australia-in-pakistan-2021-22-1288300/pakistan-vs-australia-3rd-odi-1288315/full-scorecard
New Zealand,Netherlands,New Zealand,115 runs,Hamilton,"Apr 4, 2022",4383,https://www.espncricinfo.com/series/netherlands-in-new-zealand-2021-22-1288970/new-zealand-vs-netherlands-3rd-odi-1288989/full-scorecard
P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC),"Apr 9, 2022",4384,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/papua-new-guinea-vs-scotland-73rd-match-1308244/full-scorecard
Oman,Scotland,Scotland,4 runs,Dubai (DSC),"Apr 10, 2022",4385,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-scotland-74th-match-1308245/full-scorecard
Oman,P.N.G.,Oman,7 wickets,Dubai (DSC),"Apr 12, 2022",4386,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-papua-new-guinea-75th-match-1308246/full-scorecard
P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC),"Apr 13, 2022",4387,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/papua-new-guinea-vs-scotland-76th-match-1308247/full-scorecard
Oman,Scotland,Scotland,2 wickets,Dubai (DSC),"Apr 15, 2022",4388,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-scotland-77th-match-1308248/full-scorecard
Oman,P.N.G.,Oman,85 runs,Dubai (DSC),"Apr 16, 2022",4389,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/oman-vs-papua-new-guinea-78th-match-1308249/full-scorecard
U.S.A.,Scotland,U.S.A.,104 runs,Pearland,"May 28, 2022",4390,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-scotland-79th-match-1312798/full-scorecard
U.S.A.,Scotland,Scotland,111 runs,Pearland,"May 29, 2022",4391,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-scotland-80th-match-1312799/full-scorecard
Netherlands,West Indies,West Indies,7 wickets,Amstelveen,"May 31, 2022",4392,https://www.espncricinfo.com/series/west-indies-in-netherlands-2022-1302346/netherlands-vs-west-indies-1st-odi-1302349/full-scorecard
Scotland,U.A.E.,Scotland,4 wickets,Pearland,"May 31, 2022",4393,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/scotland-vs-united-arab-emirates-81st-match-1312800/full-scorecard
U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland,"Jun 1, 2022",4394,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-united-arab-emirates-82nd-match-1312801/full-scorecard
Netherlands,West Indies,West Indies,5 wickets,Amstelveen,"Jun 2, 2022",4395,https://www.espncricinfo.com/series/west-indies-in-netherlands-2022-1302346/netherlands-vs-west-indies-2nd-odi-1302350/full-scorecard
Scotland,U.A.E.,U.A.E.,5 wickets,Pearland,"Jun 3, 2022",4396,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/scotland-vs-united-arab-emirates-83rd-match-1312802/full-scorecard
Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare,"Jun 4, 2022",4397,https://www.espncricinfo.com/series/afghanistan-in-zimbabwe-2022-1310918/zimbabwe-vs-afghanistan-1st-odi-1310943/full-scorecard
Netherlands,West Indies,West Indies,20 runs,Amstelveen,"Jun 4, 2022",4398,https://www.espncricinfo.com/series/west-indies-in-netherlands-2022-1302346/netherlands-vs-west-indies-3rd-odi-1302351/full-scorecard
U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland,"Jun 4, 2022",4399,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-united-arab-emirates-84th-match-1312803/full-scorecard
Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare,"Jun 6, 2022",4400,https://www.espncricinfo.com/series/afghanistan-in-zimbabwe-2022-1310918/zimbabwe-vs-afghanistan-2nd-odi-1310944/full-scorecard
Pakistan,West Indies,Pakistan,5 wickets,Multan,"Jun 8, 2022",4401,https://www.espncricinfo.com/series/west-indies-in-pakistan-2022-1314914/pakistan-vs-west-indies-1st-odi-1315038/full-scorecard
U.S.A.,Oman,U.S.A.,114 runs,Pearland,"Jun 8, 2022",4402,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-oman-85th-match-1312804/full-scorecard
Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare,"Jun 9, 2022",4403,https://www.espncricinfo.com/series/afghanistan-in-zimbabwe-2022-1310918/zimbabwe-vs-afghanistan-3rd-odi-1310945/full-scorecard
Nepal,Oman,Oman,13 runs,Pearland,"Jun 9, 2022",4404,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/nepal-vs-oman-86th-match-1312805/full-scorecard
Pakistan,West Indies,Pakistan,120 runs,Multan,"Jun 10, 2022",4405,https://www.espncricinfo.com/series/west-indies-in-pakistan-2022-1314914/pakistan-vs-west-indies-2nd-odi-1315039/full-scorecard
U.S.A.,Nepal,tied,-,Pearland,"Jun 11, 2022",4406,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-nepal-87th-match-1312806/full-scorecard
Pakistan,West Indies,Pakistan,53 runs,Multan,"Jun 12, 2022",4407,https://www.espncricinfo.com/series/west-indies-in-pakistan-2022-1314914/pakistan-vs-west-indies-3rd-odi-1315040/full-scorecard
U.S.A.,Oman,Oman,13 runs,Pearland,"Jun 12, 2022",4408,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-oman-88th-match-1312807/full-scorecard
Sri Lanka,Australia,Australia,2 wickets,Pallekele,"Jun 14, 2022",4409,https://www.espncricinfo.com/series/australia-in-sri-lanka-2022-1307289/sri-lanka-vs-australia-1st-odi-1307296/full-scorecard
Nepal,Oman,Nepal,7 wickets,Pearland,"Jun 14, 2022",4410,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/nepal-vs-oman-89th-match-1312808/full-scorecard
U.S.A.,Nepal,U.S.A.,39 runs,Pearland,"Jun 15, 2022",4411,https://www.espncricinfo.com/series/world-cup-league-2-2019-2023-1196667/united-states-of-america-vs-nepal-90th-match-1312809/full-scorecard
Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele,"Jun 16, 2022",4412,https://www.espncricinfo.com/series/australia-in-sri-lanka-2022-1307289/sri-lanka-vs-australia-2nd-odi-1307297/full-scorecard
Netherlands,England,England,232 runs,Amstelveen,"Jun 17, 2022",4413,https://www.espncricinfo.com/series/england-in-netherlands-2022-1281442/netherlands-vs-england-1st-odi-1281444/full-scorecard
Netherlands,England,England,6 wickets,Amstelveen,"Jun 19, 2022",4414,https://www.espncricinfo.com/series/england-in-netherlands-2022-1281442/netherlands-vs-england-2nd-odi-1281445/full-scorecard
Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS),"Jun 19, 2022",4415,https://www.espncricinfo.com/series/australia-in-sri-lanka-2022-1307289/sri-lanka-vs-australia-3rd-odi-1307298/full-scorecard
Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS),"Jun 21, 2022",4416,https://www.espncricinfo.com/series/australia-in-sri-lanka-2022-1307289/sri-lanka-vs-australia-4th-odi-1307299/full-scorecard
Netherlands,England,England,8 wickets,Amstelveen,"Jun 22, 2022",4417,https://www.espncricinfo.com/series/england-in-netherlands-2022-1281442/netherlands-vs-england-3rd-odi-1281446/full-scorecard
